datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Day,Weekday Number
2018-07-22,367.61699999999996,33.66,32.057,16.3,165.6,65.0,2.0,24.0,29.0,2018,7,22,7
2018-07-29,295.0,39.53,22.07,17.2,126.9,57.0,3.0,4.0,25.3,2018,7,29,7
2018-08-05,275.876,26.34,20.936,18.3,106.0,58.0,8.0,9.0,29.3,2018,8,5,7
2018-08-12,347.255,38.65,27.817,29.0,147.788,66.0,2.0,13.0,23.0,2018,8,12,7
2018-08-19,362.079,31.32,33.509,16.4,169.85,56.0,7.0,28.0,20.0,2018,8,19,7
2018-08-26,456.887,35.34,30.097,18.55,223.1,44.0,2.0,79.0,24.8,2018,8,26,7
2018-09-02,341.099,27.7,17.799,19.5,165.1,54.0,4.0,36.0,17.0,2018,9,2,7
2018-09-09,423.18199999999996,34.16,20.522,17.6,223.2,63.0,0.0,43.0,21.7,2018,9,9,7
2018-09-16,470.278,40.16,20.918,19.25,253.55,71.0,6.0,42.0,17.4,2018,9,16,7
2018-09-23,446.88800000000003,33.34,32.186,17.2,222.162,64.0,3.0,47.0,28.0,2018,9,23,7
2018-09-30,560.433,36.84,35.993,27.25,320.35,54.0,2.0,67.0,17.0,2018,9,30,7
2018-10-07,476.009,30.52,31.639,15.8,262.95,60.0,3.0,63.0,9.1,2018,10,7,7
2018-10-14,493.38,32.66,28.57,20.65,239.5,87.0,7.0,56.0,22.0,2018,10,14,7
2018-10-21,465.11400000000003,32.85,27.164,13.1,241.0,50.0,9.0,67.0,25.0,2018,10,21,7
2018-10-28,591.352,32.0,30.677,20.15,300.725,71.0,6.0,116.0,14.8,2018,10,28,7
2018-11-04,427.231,46.65,21.431,15.55,240.1,42.2,3.0,46.0,12.3,2018,11,4,7
2018-11-11,527.079,39.99,19.789,34.55,255.85,70.0,5.0,93.0,8.9,2018,11,11,7
2018-11-18,502.953,37.34,26.113,28.0,236.1,63.0,5.0,100.0,7.4,2018,11,18,7
2018-11-25,435.524,43.33,29.494,23.4,201.0,54.0,6.0,67.0,11.3,2018,11,25,7
